,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1232,2014-12-15,590.6442582118117,515.472638178404,670.4859869719222,590.6442582118117,590.6442582118117,1.8981052935155036,1.8981052935155036,1.8981052935155036,-0.18985557188183655,-0.18985557188183655,-0.18985557188183655,2.08796086539734,2.08796086539734,2.08796086539734,0.0,0.0,0.0,592.5423635053272
1233,2014-12-16,591.2725745176083,519.2683151649388,669.5879404873712,591.2725745176083,591.2725745176083,1.9818002099564107,1.9818002099564107,1.9818002099564107,-0.9519806958385034,-0.9519806958385034,-0.9519806958385034,2.9337809057949142,2.9337809057949142,2.9337809057949142,0.0,0.0,0.0,593.2543747275647
1234,2014-12-17,591.9008908234046,521.8788484369383,665.7055827070427,591.9008908234046,591.9008908234046,3.7891273008161153,3.7891273008161153,3.7891273008161153,-0.048327802071978544,-0.048327802071978544,-0.048327802071978544,3.8374551028880934,3.8374551028880934,3.8374551028880934,0.0,0.0,0.0,595.6900181242206
1235,2014-12-18,592.5292071292012,527.7245855012852,669.0052880148498,592.5292071292012,592.5292071292012,3.5340735637175604,3.5340735637175604,3.5340735637175604,-1.2585772590007267,-1.2585772590007267,-1.2585772590007267,4.7926508227182865,4.7926508227182865,4.7926508227182865,0.0,0.0,0.0,596.0632806929187
1236,2014-12-19,593.1575234349976,524.9345991672001,680.3014656509513,593.1575234349976,593.1575234349976,7.179949217455802,7.179949217455802,7.179949217455802,1.3886639478584115,1.3886639478584115,1.3886639478584115,5.79128526959739,5.79128526959739,5.79128526959739,0.0,0.0,0.0,600.3374726524535
1237,2014-12-22,595.042472352387,531.356242493299,675.9875022984971,595.042472352387,595.042472352387,8.754504760186869,8.754504760186869,8.754504760186869,-0.1898555718544028,-0.1898555718544028,-0.1898555718544028,8.944360332041272,8.944360332041272,8.944360332041272,0.0,0.0,0.0,603.7969771125738
1238,2014-12-23,595.6707886581835,530.0275517443808,681.5831414471883,595.6707886581835,595.6707886581835,9.055416111908386,9.055416111908386,9.055416111908386,-0.9519806958682533,-0.9519806958682533,-0.9519806958682533,10.00739680777664,10.00739680777664,10.00739680777664,0.0,0.0,0.0,604.7262047700918
1239,2014-12-24,596.2991049639799,536.9340323101549,681.4020452937991,596.2991049639799,596.2991049639799,11.00598155436342,11.00598155436342,11.00598155436342,-0.04832780206466655,-0.04832780206466655,-0.04832780206466655,11.054309356428085,11.054309356428085,11.054309356428085,0.0,0.0,0.0,607.3050865183433
1240,2014-12-26,597.555737575573,537.6250854877005,687.2210664328323,597.555737575573,597.555737575573,14.433541434944027,14.433541434944027,14.433541434944027,1.3886639478533191,1.3886639478533191,1.3886639478533191,13.044877487090707,13.044877487090707,13.044877487090707,0.0,0.0,0.0,611.989279010517
1241,2014-12-29,599.4406864929623,538.1215099984493,689.1273505398364,599.4406864929623,599.4406864929623,15.388288183220059,15.388288183220059,15.388288183220059,-0.1898555718713832,-0.1898555718713832,-0.1898555718713832,15.578143755091439,15.578143755091439,15.578143755091439,0.0,0.0,0.0,614.8289746761824
1242,2014-12-30,600.0690027987588,542.0061667919182,685.6732895242999,600.0690027987588,600.0690027987588,15.304748213217684,15.304748213217684,15.304748213217684,-0.9519806958516891,-0.9519806958516891,-0.9519806958516891,16.256728909069373,16.256728909069373,16.256728909069373,0.0,0.0,0.0,615.3737510119764
